contact,job,month,day_of_week,education,marital,grupo_edad,yes
telephone,housemaid,may,fri,high.school,married,60 años o más,yes
telephone,blue-collar,may,fri,professional.course,married,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.9y,married,entre 50 y 59 años,yes
telephone,services,may,fri,high.school,single,Menor de 30 años ,yes
telephone,admin.,may,fri,university.degree,married,entre 30 y 39 años,yes
telephone,admin.,may,fri,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.6y,single,entre 40 y 49 años,yes
telephone,management,may,mon,university.degree,married,entre 50 y 59 años,yes
telephone,services,may,mon,high.school,single,Menor de 30 años ,yes
telephone,admin.,may,mon,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,may,tue,university.degree,single,entre 30 y 39 años,yes
telephone,management,may,tue,basic.4y,married,entre 30 y 39 años,yes
telephone,management,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,may,tue,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,university.degree,single,entre 30 y 39 años,yes
telephone,technician,may,tue,university.degree,single,entre 30 y 39 años,yes
telephone,technician,may,tue,university.degree,married,entre 30 y 39 años,yes
telephone,admin.,may,tue,basic.6y,single,entre 50 y 59 años,yes
telephone,services,may,tue,basic.6y,married,entre 30 y 39 años,yes
telephone,technician,may,tue,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,may,tue,high.school,married,entre 30 y 39 años,yes
telephone,services,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,entrepreneur,may,tue,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,basic.4y,married,entre 50 y 59 años,yes
telephone,blue-collar,may,wed,basic.6y,married,entre 30 y 39 años,yes
telephone,technician,may,wed,high.school,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,high.school,single,Menor de 30 años ,yes
telephone,blue-collar,may,wed,basic.4y,married,entre 30 y 39 años,yes
telephone,unemployed,may,wed,basic.9y,divorced,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,high.school,married,entre 30 y 39 años,yes
telephone,student,may,wed,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,high.school,married,entre 40 y 49 años,yes
telephone,blue-collar,may,wed,basic.6y,married,entre 40 y 49 años,yes
telephone,technician,may,wed,professional.course,married,entre 30 y 39 años,yes
telephone,housemaid,may,thu,basic.4y,married,entre 30 y 39 años,yes
telephone,services,may,thu,basic.9y,married,entre 30 y 39 años,yes
telephone,services,may,thu,basic.6y,divorced,entre 40 y 49 años,yes
telephone,admin.,may,thu,high.school,married,entre 40 y 49 años,yes
telephone,services,may,thu,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,thu,basic.9y,married,entre 30 y 39 años,yes
telephone,self-employed,may,thu,basic.6y,married,entre 40 y 49 años,yes
telephone,blue-collar,may,thu,basic.4y,divorced,entre 40 y 49 años,yes
telephone,blue-collar,may,thu,basic.9y,married,entre 40 y 49 años,yes
telephone,admin.,may,thu,university.degree,married,entre 30 y 39 años,yes
telephone,technician,may,thu,professional.course,married,entre 50 y 59 años,yes
telephone,management,may,thu,university.degree,married,entre 50 y 59 años,yes
telephone,blue-collar,may,thu,basic.9y,divorced,entre 30 y 39 años,yes
telephone,services,may,thu,high.school,married,entre 40 y 49 años,yes
telephone,blue-collar,may,thu,basic.9y,married,entre 50 y 59 años,yes
telephone,admin.,may,thu,high.school,single,entre 30 y 39 años,yes
telephone,entrepreneur,may,fri,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,may,fri,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,high.school,single,Menor de 30 años ,yes
telephone,management,may,fri,university.degree,single,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,technician,may,fri,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.9y,single,Menor de 30 años ,yes
telephone,entrepreneur,may,fri,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,may,fri,high.school,divorced,entre 40 y 49 años,yes
telephone,admin.,may,fri,high.school,single,Menor de 30 años ,yes
telephone,blue-collar,may,fri,basic.9y,single,entre 30 y 39 años,yes
telephone,admin.,may,fri,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,university.degree,single,entre 30 y 39 años,yes
telephone,services,may,fri,basic.6y,married,entre 50 y 59 años,yes
telephone,admin.,may,fri,university.degree,divorced,entre 40 y 49 años,yes
telephone,student,may,fri,high.school,single,entre 30 y 39 años,yes
telephone,services,may,fri,high.school,divorced,entre 50 y 59 años,yes
telephone,blue-collar,may,fri,basic.9y,married,Menor de 30 años ,yes
telephone,management,may,mon,basic.4y,married,entre 40 y 49 años,yes
telephone,technician,may,mon,professional.course,married,entre 50 y 59 años,yes
telephone,blue-collar,may,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,services,may,mon,high.school,married,Menor de 30 años ,yes
telephone,services,may,mon,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,may,mon,basic.6y,married,entre 30 y 39 años,yes
telephone,services,may,mon,high.school,married,entre 50 y 59 años,yes
telephone,services,may,mon,high.school,divorced,entre 50 y 59 años,yes
telephone,technician,may,mon,professional.course,divorced,entre 30 y 39 años,yes
telephone,services,may,tue,basic.6y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,basic.4y,married,entre 50 y 59 años,yes
telephone,services,may,tue,basic.4y,single,entre 30 y 39 años,yes
telephone,retired,may,tue,basic.4y,married,entre 50 y 59 años,yes
telephone,blue-collar,may,tue,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,basic.6y,married,Menor de 30 años ,yes
telephone,admin.,may,tue,high.school,married,entre 40 y 49 años,yes
telephone,technician,may,tue,high.school,married,entre 50 y 59 años,yes
telephone,housemaid,may,wed,basic.4y,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,university.degree,single,entre 40 y 49 años,yes
telephone,admin.,may,wed,professional.course,single,entre 40 y 49 años,yes
telephone,retired,may,wed,professional.course,married,entre 50 y 59 años,yes
telephone,blue-collar,may,wed,basic.9y,married,entre 50 y 59 años,yes
telephone,technician,may,wed,basic.9y,married,entre 50 y 59 años,yes
telephone,admin.,may,wed,university.degree,single,entre 30 y 39 años,yes
telephone,technician,may,wed,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,basic.6y,married,entre 30 y 39 años,yes
telephone,admin.,may,wed,professional.course,single,entre 30 y 39 años,yes
telephone,housemaid,may,wed,basic.4y,married,entre 40 y 49 años,yes
telephone,technician,may,wed,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,basic.4y,single,Menor de 30 años ,yes
telephone,admin.,may,wed,university.degree,divorced,entre 40 y 49 años,yes
telephone,entrepreneur,may,wed,university.degree,married,entre 50 y 59 años,yes
telephone,admin.,may,wed,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,services,may,wed,high.school,married,entre 30 y 39 años,yes
telephone,admin.,may,fri,university.degree,divorced,entre 50 y 59 años,yes
telephone,services,may,fri,high.school,married,entre 30 y 39 años,yes
telephone,technician,may,fri,professional.course,married,entre 40 y 49 años,yes
telephone,technician,may,fri,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.6y,single,Menor de 30 años ,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 40 y 49 años,yes
telephone,retired,may,fri,high.school,married,entre 50 y 59 años,yes
telephone,technician,may,fri,high.school,married,entre 50 y 59 años,yes
telephone,admin.,may,fri,university.degree,single,entre 30 y 39 años,yes
telephone,services,may,fri,high.school,single,entre 30 y 39 años,yes
telephone,retired,may,fri,high.school,married,60 años o más,yes
telephone,blue-collar,may,fri,basic.4y,married,entre 40 y 49 años,yes
telephone,technician,may,fri,professional.course,single,entre 30 y 39 años,yes
telephone,services,may,fri,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,may,mon,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,mon,professional.course,married,entre 50 y 59 años,yes
telephone,admin.,may,mon,university.degree,single,entre 50 y 59 años,yes
telephone,management,may,mon,university.degree,single,entre 40 y 49 años,yes
telephone,student,may,mon,high.school,single,Menor de 30 años ,yes
telephone,services,may,mon,high.school,married,entre 40 y 49 años,yes
telephone,admin.,may,mon,university.degree,single,entre 50 y 59 años,yes
telephone,entrepreneur,may,mon,high.school,married,entre 40 y 49 años,yes
telephone,unemployed,may,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,management,may,mon,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,may,mon,high.school,married,Menor de 30 años ,yes
telephone,self-employed,may,mon,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,may,mon,basic.4y,married,entre 50 y 59 años,yes
telephone,entrepreneur,may,mon,basic.9y,married,Menor de 30 años ,yes
telephone,admin.,may,mon,basic.9y,married,Menor de 30 años ,yes
telephone,services,may,tue,professional.course,married,entre 40 y 49 años,yes
telephone,technician,may,tue,university.degree,single,Menor de 30 años ,yes
telephone,blue-collar,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,may,tue,high.school,married,entre 40 y 49 años,yes
telephone,blue-collar,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,management,may,tue,university.degree,single,entre 30 y 39 años,yes
telephone,management,may,tue,professional.course,married,entre 50 y 59 años,yes
telephone,self-employed,may,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,blue-collar,may,tue,basic.6y,married,entre 40 y 49 años,yes
telephone,admin.,may,wed,university.degree,divorced,entre 50 y 59 años,yes
telephone,blue-collar,may,wed,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,may,wed,basic.9y,divorced,entre 50 y 59 años,yes
telephone,blue-collar,may,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,may,wed,university.degree,married,entre 40 y 49 años,yes
telephone,services,may,wed,basic.4y,married,entre 50 y 59 años,yes
telephone,blue-collar,may,wed,basic.6y,married,entre 30 y 39 años,yes
telephone,unemployed,may,wed,high.school,single,Menor de 30 años ,yes
telephone,technician,may,wed,professional.course,married,entre 50 y 59 años,yes
telephone,admin.,may,wed,university.degree,married,entre 30 y 39 años,yes
telephone,management,may,wed,basic.6y,married,entre 40 y 49 años,yes
telephone,technician,may,wed,professional.course,married,entre 50 y 59 años,yes
telephone,retired,may,wed,basic.4y,married,entre 50 y 59 años,yes
telephone,management,may,wed,university.degree,single,entre 30 y 39 años,yes
telephone,retired,may,wed,professional.course,married,entre 50 y 59 años,yes
telephone,admin.,may,thu,university.degree,married,entre 30 y 39 años,yes
telephone,technician,may,thu,basic.9y,married,entre 40 y 49 años,yes
telephone,entrepreneur,may,thu,basic.9y,married,Menor de 30 años ,yes
telephone,technician,may,thu,professional.course,divorced,entre 30 y 39 años,yes
telephone,services,may,thu,high.school,married,entre 30 y 39 años,yes
telephone,unemployed,may,thu,professional.course,married,entre 30 y 39 años,yes
telephone,admin.,may,thu,high.school,divorced,entre 30 y 39 años,yes
telephone,blue-collar,may,thu,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,may,thu,high.school,single,entre 40 y 49 años,yes
telephone,admin.,may,thu,university.degree,married,entre 30 y 39 años,yes
telephone,admin.,may,thu,university.degree,single,entre 30 y 39 años,yes
telephone,admin.,may,thu,university.degree,single,entre 30 y 39 años,yes
telephone,admin.,may,thu,university.degree,single,entre 40 y 49 años,yes
telephone,technician,may,thu,university.degree,single,entre 30 y 39 años,yes
telephone,retired,may,thu,basic.9y,married,entre 50 y 59 años,yes
telephone,housemaid,may,fri,high.school,divorced,entre 30 y 39 años,yes
telephone,services,may,fri,high.school,married,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 40 y 49 años,yes
telephone,admin.,may,fri,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.4y,divorced,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.9y,married,Menor de 30 años ,yes
telephone,admin.,may,fri,high.school,single,Menor de 30 años ,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 40 y 49 años,yes
telephone,services,may,fri,high.school,married,entre 50 y 59 años,yes
telephone,technician,may,fri,professional.course,married,entre 50 y 59 años,yes
telephone,services,may,fri,high.school,married,entre 30 y 39 años,yes
telephone,entrepreneur,may,fri,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,blue-collar,may,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,blue-collar,may,fri,high.school,married,entre 30 y 39 años,yes
telephone,technician,may,fri,professional.course,married,Menor de 30 años ,yes
telephone,blue-collar,may,fri,basic.6y,married,entre 40 y 49 años,yes
telephone,services,may,fri,high.school,married,entre 40 y 49 años,yes
telephone,admin.,may,fri,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,may,fri,basic.4y,married,entre 40 y 49 años,yes
telephone,admin.,may,fri,professional.course,divorced,entre 40 y 49 años,yes
telephone,unemployed,may,fri,professional.course,married,entre 30 y 39 años,yes
telephone,services,may,fri,basic.9y,single,entre 30 y 39 años,yes
telephone,admin.,jun,mon,university.degree,married,entre 40 y 49 años,yes
telephone,unemployed,jun,mon,basic.6y,married,entre 30 y 39 años,yes
telephone,management,jun,mon,university.degree,married,60 años o más,yes
telephone,services,jun,mon,basic.9y,divorced,entre 30 y 39 años,yes
telephone,services,jun,mon,high.school,married,Menor de 30 años ,yes
telephone,blue-collar,jun,mon,basic.6y,married,entre 40 y 49 años,yes
telephone,services,jun,mon,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,mon,basic.9y,married,Menor de 30 años ,yes
telephone,services,jun,mon,university.degree,single,entre 30 y 39 años,yes
telephone,technician,jun,mon,professional.course,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,mon,high.school,married,entre 50 y 59 años,yes
telephone,student,jun,mon,university.degree,single,entre 30 y 39 años,yes
telephone,retired,jun,mon,university.degree,divorced,entre 50 y 59 años,yes
telephone,technician,jun,mon,professional.course,single,entre 30 y 39 años,yes
telephone,technician,jun,tue,university.degree,single,Menor de 30 años ,yes
telephone,blue-collar,jun,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,high.school,single,entre 30 y 39 años,yes
telephone,management,jun,tue,basic.9y,married,entre 50 y 59 años,yes
telephone,management,jun,tue,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,jun,tue,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,basic.6y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,tue,basic.6y,married,entre 30 y 39 años,yes
telephone,admin.,jun,tue,high.school,single,Menor de 30 años ,yes
telephone,unemployed,jun,tue,basic.4y,divorced,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,basic.9y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,tue,basic.9y,divorced,entre 40 y 49 años,yes
telephone,admin.,jun,tue,basic.9y,divorced,entre 30 y 39 años,yes
telephone,technician,jun,tue,university.degree,married,entre 40 y 49 años,yes
telephone,retired,jun,wed,basic.4y,married,entre 50 y 59 años,yes
telephone,student,jun,wed,high.school,single,entre 30 y 39 años,yes
telephone,admin.,jun,wed,high.school,married,entre 30 y 39 años,yes
telephone,admin.,jun,wed,university.degree,single,entre 30 y 39 años,yes
telephone,admin.,jun,wed,high.school,single,entre 30 y 39 años,yes
telephone,admin.,jun,wed,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,wed,basic.9y,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,wed,high.school,single,entre 30 y 39 años,yes
telephone,admin.,jun,wed,university.degree,married,entre 30 y 39 años,yes
telephone,unemployed,jun,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,housemaid,jun,wed,high.school,divorced,entre 40 y 49 años,yes
telephone,blue-collar,jun,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,thu,basic.4y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,basic.4y,divorced,entre 50 y 59 años,yes
telephone,blue-collar,jun,thu,professional.course,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,basic.9y,married,entre 40 y 49 años,yes
telephone,technician,jun,thu,professional.course,single,Menor de 30 años ,yes
telephone,blue-collar,jun,thu,basic.4y,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,thu,basic.9y,married,entre 30 y 39 años,yes
telephone,entrepreneur,jun,thu,basic.6y,single,entre 30 y 39 años,yes
telephone,technician,jun,thu,university.degree,married,entre 30 y 39 años,yes
telephone,technician,jun,thu,university.degree,single,entre 30 y 39 años,yes
telephone,services,jun,thu,high.school,single,Menor de 30 años ,yes
telephone,blue-collar,jun,thu,professional.course,divorced,entre 30 y 39 años,yes
telephone,services,jun,fri,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,self-employed,jun,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,fri,professional.course,married,entre 30 y 39 años,yes
telephone,admin.,jun,fri,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,fri,basic.6y,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,fri,professional.course,married,entre 40 y 49 años,yes
telephone,self-employed,jun,fri,university.degree,married,entre 40 y 49 años,yes
telephone,admin.,jun,fri,university.degree,divorced,entre 40 y 49 años,yes
telephone,blue-collar,jun,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,admin.,jun,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,services,jun,fri,high.school,divorced,entre 40 y 49 años,yes
telephone,admin.,jun,mon,university.degree,single,Menor de 30 años ,yes
telephone,blue-collar,jun,mon,basic.4y,single,entre 30 y 39 años,yes
telephone,student,jun,mon,high.school,single,Menor de 30 años ,yes
telephone,services,jun,mon,high.school,single,Menor de 30 años ,yes
telephone,admin.,jun,mon,high.school,married,entre 30 y 39 años,yes
telephone,technician,jun,mon,high.school,married,entre 30 y 39 años,yes
telephone,technician,jun,mon,professional.course,married,entre 30 y 39 años,yes
telephone,entrepreneur,jun,mon,university.degree,single,Menor de 30 años ,yes
telephone,technician,jun,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,services,jun,mon,high.school,married,entre 30 y 39 años,yes
telephone,admin.,jun,wed,professional.course,married,Menor de 30 años ,yes
telephone,management,jun,wed,university.degree,married,entre 30 y 39 años,yes
telephone,admin.,jun,wed,university.degree,married,entre 30 y 39 años,yes
telephone,self-employed,jun,wed,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,wed,basic.4y,divorced,entre 50 y 59 años,yes
telephone,admin.,jun,wed,high.school,single,entre 30 y 39 años,yes
telephone,entrepreneur,jun,wed,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,wed,basic.6y,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,jun,wed,high.school,divorced,entre 40 y 49 años,yes
telephone,technician,jun,wed,professional.course,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,basic.6y,married,entre 30 y 39 años,yes
telephone,technician,jun,thu,professional.course,divorced,entre 50 y 59 años,yes
telephone,blue-collar,jun,thu,basic.6y,married,entre 50 y 59 años,yes
telephone,management,jun,thu,university.degree,single,Menor de 30 años ,yes
telephone,technician,jun,thu,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,thu,basic.4y,married,entre 40 y 49 años,yes
telephone,entrepreneur,jun,thu,high.school,married,entre 40 y 49 años,yes
telephone,entrepreneur,jun,thu,high.school,divorced,entre 50 y 59 años,yes
telephone,admin.,jun,thu,university.degree,single,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,basic.4y,married,entre 40 y 49 años,yes
telephone,admin.,jun,thu,high.school,single,Menor de 30 años ,yes
telephone,entrepreneur,jun,mon,university.degree,married,entre 30 y 39 años,yes
telephone,admin.,jun,mon,high.school,divorced,entre 40 y 49 años,yes
telephone,management,jun,mon,university.degree,married,entre 30 y 39 años,yes
telephone,technician,jun,mon,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,self-employed,jun,mon,basic.9y,married,entre 40 y 49 años,yes
telephone,entrepreneur,jun,mon,basic.9y,single,entre 30 y 39 años,yes
telephone,management,jun,mon,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,mon,high.school,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,mon,basic.4y,married,entre 40 y 49 años,yes
telephone,admin.,jun,tue,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,basic.4y,married,entre 50 y 59 años,yes
telephone,entrepreneur,jun,tue,basic.9y,married,Menor de 30 años ,yes
telephone,management,jun,tue,university.degree,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,basic.9y,married,entre 30 y 39 años,yes
telephone,services,jun,tue,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,tue,high.school,divorced,entre 50 y 59 años,yes
telephone,entrepreneur,jun,tue,professional.course,married,entre 30 y 39 años,yes
telephone,self-employed,jun,tue,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,wed,high.school,single,entre 30 y 39 años,yes
telephone,technician,jun,wed,professional.course,married,entre 30 y 39 años,yes
telephone,technician,jun,wed,professional.course,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,wed,basic.6y,married,entre 40 y 49 años,yes
telephone,management,jun,wed,university.degree,married,Menor de 30 años ,yes
telephone,blue-collar,jun,wed,basic.4y,single,Menor de 30 años ,yes
telephone,services,jun,wed,high.school,married,entre 40 y 49 años,yes
telephone,management,jun,wed,university.degree,married,Menor de 30 años ,yes
telephone,technician,jun,wed,professional.course,single,entre 40 y 49 años,yes
telephone,retired,jun,wed,basic.9y,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,wed,basic.9y,married,entre 30 y 39 años,yes
telephone,management,jun,wed,university.degree,married,Menor de 30 años ,yes
telephone,blue-collar,jun,wed,basic.6y,married,Menor de 30 años ,yes
telephone,admin.,jun,wed,university.degree,married,60 años o más,yes
telephone,student,jun,thu,university.degree,single,entre 30 y 39 años,yes
telephone,admin.,jun,thu,high.school,divorced,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,basic.9y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,thu,high.school,single,Menor de 30 años ,yes
telephone,blue-collar,jun,thu,basic.6y,married,entre 30 y 39 años,yes
telephone,admin.,jun,thu,high.school,married,entre 30 y 39 años,yes
telephone,admin.,jun,thu,high.school,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,thu,basic.4y,married,entre 50 y 59 años,yes
telephone,housemaid,jun,thu,basic.4y,married,entre 40 y 49 años,yes
telephone,services,jun,thu,basic.9y,single,entre 40 y 49 años,yes
telephone,technician,jun,thu,professional.course,married,entre 30 y 39 años,yes
telephone,retired,jun,thu,university.degree,married,entre 50 y 59 años,yes
telephone,admin.,jun,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,admin.,jun,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,self-employed,jun,fri,professional.course,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,fri,basic.4y,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,fri,basic.6y,married,entre 40 y 49 años,yes
telephone,technician,jun,fri,university.degree,single,Menor de 30 años ,yes
telephone,blue-collar,jun,fri,basic.6y,married,entre 30 y 39 años,yes
telephone,technician,jun,fri,professional.course,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,fri,basic.4y,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,fri,basic.9y,married,entre 30 y 39 años,yes
telephone,technician,jun,fri,professional.course,married,Menor de 30 años ,yes
telephone,blue-collar,jun,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,admin.,jun,fri,high.school,married,entre 40 y 49 años,yes
telephone,admin.,jun,fri,university.degree,married,entre 40 y 49 años,yes
telephone,blue-collar,jun,fri,basic.4y,married,entre 50 y 59 años,yes
telephone,technician,jun,fri,professional.course,married,entre 30 y 39 años,yes
telephone,blue-collar,jun,fri,basic.9y,married,entre 30 y 39 años,yes
telephone,admin.,jun,fri,basic.9y,married,entre 30 y 39 años,yes
telephone,entrepreneur,jun,fri,professional.course,married,entre 40 y 49 años,yes
telephone,retired,jun,fri,high.school,married,entre 50 y 59 años,yes
telephone,blue-collar,jun,fri,basic.9y,married,entre 40 y 49 años,yes
telephone,admin.,jun,mon,university.degree,single,entre 40 y 49 años,yes
telephone,management,jun,mon,university.degree,single,entre 30 y 39 años,yes
telephone,blue-collar,jun,mon,basic.9y,single,entre 30 y 39 años,yes
